name	score	ssimB	edgeB	bleedB	ssim	edge	bleed
a_sketch_of_the_mitsui_shop_in_suruga_street_in_	1.768	0.640	0.334	9.8	0.679	0.410	10.9
a_sketch_of_the_mitsui_shop_in_suruga_street_in_ed	1.763	0.640	0.322	8.6	0.679	0.403	10.3
asakusa_honganji_temple_in_th_eastern_capital	1.748	0.664	0.343	19.6	0.689	0.410	16.9
at_sea_off_kazusa_kazusa_no_kairo_from_the_serie	1.846	0.687	0.345	11.7	0.708	0.432	11.9
besneeuwde_ochtend_in_koishikawa_rijksmuseum_ak_	1.742	0.665	0.220	11.6	0.690	0.356	11.9
climbing_on_mt_fuji	1.861	0.668	0.499	20.0	0.696	0.498	15.0
dawn_at_isawa_in_the_kai_province	1.786	0.662	0.303	11.7	0.694	0.399	12.3
ejiri_in_suruga_province_sunsh_ejiri_from_the_se	1.721	0.658	0.184	9.7	0.686	0.341	9.3
enoshima_in_the_sagami_province	1.806	0.660	0.386	8.7	0.686	0.422	9.8
fujimigahara_in_owari_province_bish_fujimigahara	1.795	0.674	0.281	12.7	0.697	0.393	11.6
fujithe_tama_river_musashi_province_from_the_ser	1.741	0.665	0.183	10.3	0.691	0.341	10.1
het_suwa_meer_in_de_provincie_shinano_shinshu_su	1.846	0.709	0.331	12.7	0.715	0.423	10.5
hodogaya_on_the_tkaid_tkaid_hodogaya_from_the_se	1.737	0.644	0.323	13.3	0.676	0.406	13.0
honjo_tatekawa_the_timberyard_at_honjo	1.765	0.615	0.340	12.2	0.669	0.420	10.3
in_the_mountains_of_ttomi_province_ttomi_sanch_f	1.761	0.637	0.262	9.7	0.678	0.386	10.3
kajikazawa_in_kai_province_koshu_kajikazawa	1.869	0.678	0.361	8.9	0.702	0.440	8.8
katsushika_hokusai_goten_yama_hill_shinagawa_on_	1.791	0.624	0.408	13.6	0.670	0.448	13.1
katsushika_hokusai_tempesta_sotto_la_vetta_dalla	1.745	0.653	0.328	16.5	0.683	0.410	15.3
lower_meguro_shimo_meguro_from_the_series_thirty	1.780	0.667	0.230	9.9	0.695	0.373	9.5
mishima_pass_in_kai_province_ksh_mishima_goe_fro	1.823	0.686	0.367	10.7	0.703	0.441	13.1
nakahara_in_the_sagami_province	1.804	0.657	0.281	9.5	0.693	0.405	8.6
nihonbashi_in_edo_edo_nihonbashi_from_the_series	1.738	0.670	0.239	13.2	0.693	0.355	11.6
noboto_bay_noboto_no_ura_from_the_series_thirty_	1.741	0.659	0.236	9.9	0.686	0.362	10.4
ono_shindon_in_the_suraga_province	1.781	0.652	0.363	16.3	0.688	0.432	12.8
red_fuji_southern_wind_clear_morning	1.812	0.658	0.546	17.0	0.679	0.515	18.0
reflection_in_lake_at_misaka_in_kai_province_ksh	1.812	0.683	0.258	9.4	0.702	0.384	8.5
sazai_hall_at_the_temple_of_the_five_hundred_arh	1.793	0.678	0.318	15.0	0.696	0.402	11.1
sekiya_village_on_the_sumida_river_sumidagawa_se	1.713	0.623	0.266	11.7	0.667	0.385	12.4
senju_in_musashi_province_bush_senju_from_the_se	1.670	0.620	0.206	12.2	0.665	0.345	12.3
shichirigahama_in_sagami_province_ssh_shichiriga	1.836	0.712	0.233	11.8	0.722	0.378	10.4
soshu_nakahara	1.828	0.674	0.488	17.5	0.690	0.475	14.6
sunset_across_the_ryogoku_bridge_from_the_bank_o	1.874	0.688	0.423	11.8	0.707	0.472	11.7
surugadai_in_edo_tto_sundai_from_the_series_thir	1.693	0.642	0.193	12.4	0.678	0.340	11.3
tago_bay_near_ejiri_on_the_tkaid_tkaid_ejiri_tag	1.714	0.631	0.213	12.8	0.676	0.359	11.1
the_back_of_the_fuji_from_the_minobu_river	1.778	0.671	0.391	20.3	0.693	0.443	17.6
the_coast_of_seven_leages_in_kamakura	1.760	0.639	0.365	10.7	0.676	0.413	11.1
the_fuji_from_kanaya_on_the_tokaido	1.826	0.630	0.451	12.3	0.675	0.478	10.8
the_inume_pass_in_kai_province_ksh_inume_tge_fro	1.786	0.686	0.253	8.9	0.700	0.370	8.8
the_lake_of_hakone_in_the_segami_province	1.778	0.647	0.294	11.0	0.683	0.407	11.0
the_tea_plantation_of_katakura_in_the_suruga_pro	1.683	0.586	0.345	15.6	0.648	0.422	15.2
the_waterwheel_at_onden_onden_no_suisha_from_the	1.771	0.656	0.260	10.6	0.685	0.378	9.3
tsukudajima_in_musashi_province_buy_tsukudajima_	1.821	0.689	0.359	11.1	0.701	0.419	11.7
umegawa_in_sagami_province	1.722	0.633	0.221	11.1	0.679	0.368	12.2
under_the_mannen_bridge_at_fukagawa_fukagawa_man	1.802	0.673	0.335	9.2	0.694	0.413	10.4
ushibori_in_hitachi_province_jsh_ushibori_from_t	1.796	0.692	0.266	14.4	0.703	0.382	12.2
yoshida_on_the_tkaid_tkaid_yoshida_from_the_seri	1.676	0.602	0.234	12.4	0.659	0.365	12.8
