rank	a	b	combined	compat	palette_match	palette_emd	dominant_dE	shared_series	surv_geomean	path_a	path_b
1	dawn_at_isawa_in_the_kai_province	katsushika_hokusai_goten_yama_hill_shinagawa_on_	0.839	1.066	0.806	19.39	13.6	1.15	0.787	examples/series/dawn_at_isawa_in_the_kai_province.jpg	examples/series/katsushika_hokusai_goten_yama_hill_shinagawa_on_.jpg
2	dawn_at_isawa_in_the_kai_province	fuji_a	0.795	0.741	0.741	25.86	48.3	1.00	1.072	examples/series/dawn_at_isawa_in_the_kai_province.jpg	examples/fuji_a.jpg
3	dawn_at_isawa_in_the_kai_province	kajikazawa	0.758	0.839	0.839	16.15	18.0	1.00	0.905	examples/series/dawn_at_isawa_in_the_kai_province.jpg	examples/kajikazawa.jpg
4	fuji_a	kajikazawa	0.745	0.833	0.833	16.65	43.7	1.00	0.894	examples/fuji_a.jpg	examples/kajikazawa.jpg
5	at_sea_off_kazusa_kazusa_no_kairo_from_the_serie	fuji_a	0.724	0.916	0.797	20.35	6.0	1.00	0.790	examples/series/at_sea_off_kazusa_kazusa_no_kairo_from_the_serie.jpg	examples/fuji_a.jpg
6	at_sea_off_kazusa_kazusa_no_kairo_from_the_serie	dawn_at_isawa_in_the_kai_province	0.712	0.890	0.774	22.57	54.2	1.15	0.799	examples/series/at_sea_off_kazusa_kazusa_no_kairo_from_the_serie.jpg	examples/series/dawn_at_isawa_in_the_kai_province.jpg
7	katsushika_hokusai_goten_yama_hill_shinagawa_on_	fuji_a	0.618	0.795	0.795	20.48	42.0	1.00	0.777	examples/series/katsushika_hokusai_goten_yama_hill_shinagawa_on_.jpg	examples/fuji_a.jpg
8	at_sea_off_kazusa_kazusa_no_kairo_from_the_serie	kajikazawa	0.563	0.844	0.844	15.56	48.8	1.00	0.666	examples/series/at_sea_off_kazusa_kazusa_no_kairo_from_the_serie.jpg	examples/kajikazawa.jpg
9	dawn_at_isawa_in_the_kai_province	katsushika_hokusai_tempesta_sotto_la_vetta_dalla	0.545	0.770	0.670	33.02	23.4	1.15	0.707	examples/series/dawn_at_isawa_in_the_kai_province.jpg	examples/series/katsushika_hokusai_tempesta_sotto_la_vetta_dalla.jpg
10	katsushika_hokusai_goten_yama_hill_shinagawa_on_	kajikazawa	0.540	0.823	0.823	17.71	23.7	1.00	0.656	examples/series/katsushika_hokusai_goten_yama_hill_shinagawa_on_.jpg	examples/kajikazawa.jpg
